ZIPCODE,IDS,POSICIÓN,POPULATION_2016,EXTENSION,DENSITY,REGION
60704,32.91,475,7112,363.16,19.58,BRUNCA
60805,32.49,476,3298,255.05,12.93,BRUNCA
50503,80.63,59,17720,240.45,73.7,CHOROTEGA
50801,77.27,80,9090,138.78,65.5,CHOROTEGA
50305,76.08,92,4510,74.93,60.19,CHOROTEGA
50901,72.96,121,2528,34.19,73.94,CHOROTEGA
50501,72.87,123,8425,125.01,67.39,CHOROTEGA
50502,72.81,124,5986,37.17,161.04,CHOROTEGA
50309,71.7,138,7299,123.53,59.09,CHOROTEGA
51104,69.37,168,755,31.46,24,CHOROTEGA
51101,69.3,171,4506,79.61,56.6,CHOROTEGA
50206,68.36,186,6241,134.92,46.26,CHOROTEGA
50101,68.06,191,60333,561.57,107.44,CHOROTEGA
50304,67.71,197,5770,140.81,40.98,CHOROTEGA
50301,66.87,204,25739,272.08,94.6,CHOROTEGA
50803,66.11,208,1958,122.27,16.01,CHOROTEGA
50601,64.6,223,24700,193.22,127.83,CHOROTEGA
50302,63.85,230,1977,30.41,65.01,CHOROTEGA
50307,63.82,232,4530,63.8,71,CHOROTEGA
50308,63.41,235,3896,73.12,53.28,CHOROTEGA
50102,63.07,238,3692,243.87,15.14,CHOROTEGA
50201,63.01,242,25727,311.08,82.7,CHOROTEGA
50704,62.73,245,4936,195.77,25.21,CHOROTEGA
50404,61.37,261,1135,42.9,26.46,CHOROTEGA
51102,61.15,265,725,74.85,9.69,CHOROTEGA
50806,60.2,274,1502,83.46,18,CHOROTEGA
50807,59.91,279,2622,75.52,34.72,CHOROTEGA
50303,59.76,281,8112,300.65,26.98,CHOROTEGA
50504,59.36,285,10194,174.91,58.28,CHOROTEGA
50202,59.22,288,5737,211.67,27.1,CHOROTEGA
50804,58.83,291,2099,71.11,29.52,CHOROTEGA
50403,58.46,292,3893,184.54,21.1,CHOROTEGA
50401,58.14,293,14670,886.72,16.54,CHOROTEGA
50703,57.91,297,1760,109.17,16.12,CHOROTEGA
51001,57.39,302,11763,346.22,33.98,CHOROTEGA
51103,57.23,304,1822,75.5,24.13,CHOROTEGA
50904,56.95,306,2309,76.12,30.33,CHOROTEGA
50402,56.66,308,2980,159.33,18.7,CHOROTEGA
50701,56.4,310,10054,229.35,43.84,CHOROTEGA
50203,55.94,321,6933,338.17,20.5,CHOROTEGA
50105,55.33,327,2921,80.79,36.16,CHOROTEGA
50104,55.09,331,2740,323.57,8.47,CHOROTEGA
51004,54.79,335,2696,507.31,5.31,CHOROTEGA
50903,54.55,339,1258,103.53,12.15,CHOROTEGA
50205,53.8,344,4309,109.51,39.35,CHOROTEGA
50802,52.74,353,2977,76.02,39.16,CHOROTEGA
50306,52.22,361,2285,232.94,9.81,CHOROTEGA
50805,51.77,364,943,71.23,13.24,CHOROTEGA
50702,51.38,370,2679,141.47,18.94,CHOROTEGA
50604,51.32,373,2446,57.98,42.19,CHOROTEGA
50905,51.01,375,767,39.58,19.38,CHOROTEGA
50204,50.6,380,2565,106.93,23.99,CHOROTEGA
50906,50.04,388,3313,262.08,12.64,CHOROTEGA
50902,48.41,399,1463,50.09,29.21,CHOROTEGA
50603,46.06,420,1979,120.52,16.42,CHOROTEGA
50207,45.92,421,2884,121.4,23.76,CHOROTEGA
50103,45.08,430,1842,226.67,8.13,CHOROTEGA
51003,42.63,448,2370,272.69,8.69,CHOROTEGA
50602,40.14,457,1285,204.81,6.27,CHOROTEGA
51002,38.71,460,8255,257.68,32.04,CHOROTEGA
50605,27.46,479,770,105.67,7.29,CHOROTEGA
70201,67.86,195,35695,219.97,162.27,HUETAR CARIBE
70207,65.72,213,6278,40,156.95,HUETAR CARIBE
70101,64.76,222,61588,59.76,1030.59,HUETAR CARIBE
70202,62.76,244,11987,107.72,111.28,HUETAR CARIBE
70602,56.8,307,2205,89.24,24.71,HUETAR CARIBE
70601,55.46,324,23093,222,104.02,HUETAR CARIBE
70306,55.04,334,6487,37.2,174.38,HUETAR CARIBE
70301,53.23,347,34045,373.25,91.21,HUETAR CARIBE
70603,52.98,350,7787,72.15,107.93,HUETAR CARIBE
70502,50.73,379,19247,213.26,90.25,HUETAR CARIBE
70303,49.78,392,2526,93.02,27.16,HUETAR CARIBE
70104,48.92,398,7948,339.75,23.39,HUETAR CARIBE
70205,47.92,401,37508,224.29,167.23,HUETAR CARIBE
70503,46.84,412,14705,205.01,71.73,HUETAR CARIBE
70103,46.76,413,9408,133.35,70.55,HUETAR CARIBE
70403,46.17,418,11795,235.64,50.06,HUETAR CARIBE
70304,46.16,419,2881,32.46,88.76,HUETAR CARIBE
70501,45.74,422,10174,354.37,28.71,HUETAR CARIBE
70604,45.57,426,10754,110.68,97.16,HUETAR CARIBE
70204,44.98,432,18875,177.09,106.58,HUETAR CARIBE
70203,43.68,438,27147,469.05,57.88,HUETAR CARIBE
70605,41.88,452,7458,82.41,90.5,HUETAR CARIBE
70302,40.16,456,10118,218.03,46.41,HUETAR CARIBE
70305,39.48,459,7065,106.23,66.51,HUETAR CARIBE
70402,35.4,470,11187,171.78,65.12,HUETAR CARIBE
70401,34.8,471,9223,179.25,51.45,HUETAR CARIBE
70206,28.88,477,4681,1165.37,4.02,HUETAR CARIBE
70102,28.67,478,19515,1232.93,15.83,HUETAR CARIBE
